Timestamp,Annotation,Other Anomalies,A#AEGIS,A#AICrit,A#Attester,A#DAD,A#HybMon,A#Stef-Phy,A#Superdetector,FIT101,LIT101,MV101,P102,P101,AIT202,AIT203,AIT201,FIT201,MV201,P208,P207,P206,P204,P205,P203,P202,P201,AIT301,AIT302,AIT303,DPIT301,FIT301,LIT301,MV301,MV302,MV304,MV303,P301,P302,AIT402,AIT401,FIT401,LIT401,P402,P403,P404,P401,UV401,AIT501,AIT502,AIT503,AIT504,FIT503,FIT502,FIT504,FIT501,MV504,MV503,MV501,MV502,P501,P502,PIT501,PIT502,PIT503,FIT601,FIT602,LIT601,LIT602,P601,P602,P603,PLC4,PLC1,PLC6,PLC5,PLC3,PLC2,P1SA1,Plant,Attack Hash,Attack Name,Attack State,Attack Target,Attack Type,Intent,Attack Mode,Attack Outcome,Target Selection,Entry Point,ASD,Attacker,Attack Id,Attack Subid
01/01/1970 07:30:00 AM,,,,,,,,,,0.0,,,,,,358.574738,33.4850044,0.0,,,,,,1,1,,1,,,,,0.0005124427,899.1285,,,1,,,,,,0.000768295,595.039734,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2021 09:37:05 AM,,,,,,,,,,0.0,822.463,1.0,1.0,1.0,5.654832,358.26712,33.4850044,0.0,1.0,,,1.0,1.0,1,1,1.0,1,5.8224597,307.8558,12.9009533,0.04161598,0.0005124427,898.7279,1.0,2.0,1,1.0,1.0,1.0,0.0,0.0,0.000768295,595.3089,1.0,1.0,1.0,1.0,False,6.71738052,298.461945,120.994614,4.84491158,0.002048459,0.0019213527,0.0,0.00256344536,1.0,1.0,1,1.0,1.0,1.0,20.1871319,6.66389,16.40605,0.0,0.0,707.2866,604.428345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,
22/06/2021 09:37:06 AM,,,,,,,,,,0.0,822.7378,1.0,1.0,1.0,5.65034628,358.26712,33.4850044,0.0,1.0,,,1.0,1.0,1,1,1.0,1,5.8224597,307.8558,12.9009533,0.04161598,0.0005124427,898.7279,1.0,2.0,1,1.0,1.0,1.0,0.0,0.0,0.000768295,595.3089,1.0,1.0,1.0,1.0,False,6.71706,298.461945,120.994614,4.84491158,0.002048459,0.0019213527,0.0,0.00256344536,1.0,1.0,1,1.0,1.0,1.0,20.1871319,6.66389,16.40605,0.0,0.0,707.2866,604.428345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,
22/06/2021 09:37:07 AM,,,,,,,,,,0.0,822.541565,1.0,1.0,1.0,5.65034628,358.26712,33.4850044,0.0,1.0,,,1.0,1.0,1,1,1.0,1,5.8224597,307.8558,12.9009533,0.04161598,0.0005124427,898.5677,1.0,2.0,1,1.0,1.0,1.0,0.0,0.0,0.000768295,595.4627,1.0,1.0,1.0,1.0,False,6.71706,298.6414,120.994614,4.84491158,0.002048459,0.0019213527,0.0,0.00256344536,1.0,1.0,1,1.0,1.0,1.0,20.1871319,6.66389,16.40605,0.0,0.0,706.934143,604.428345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,
22/06/2021 09:37:08 AM,,,,,,,,,,0.0,822.9341,1.0,1.0,1.0,5.666688,358.574738,33.4850044,0.0,1.0,,,1.0,1.0,1,1,1.0,1,5.8224597,307.497284,12.9009533,0.04161598,0.0005124427,898.5677,1.0,2.0,1,1.0,1.0,1.0,0.0,0.0,0.000768295,595.4627,1.0,1.0,1.0,1.0,False,6.71706,298.6414,120.994614,4.84491158,0.002048459,0.0019213527,0.0,0.00256344536,1.0,1.0,1,1.0,1.0,1.0,20.1871319,6.66389,16.40605,0.0,0.0,706.709839,604.428345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,
22/06/2021 09:37:09 AM,,,,,,,,,,0.0,822.9341,1.0,1.0,1.0,5.666688,358.574738,33.4850044,0.0,1.0,,,1.0,1.0,1,1,1.0,1,5.8224597,307.497284,12.9009533,0.04161598,0.0005124427,898.5677,1.0,2.0,1,1.0,1.0,1.0,0.0,0.0,0.000768295,595.4627,1.0,1.0,1.0,1.0,False,6.71706,298.6414,120.994614,4.84491158,0.002048459,0.0019213527,0.0,0.00256344536,1.0,1.0,1,1.0,1.0,1.0,20.1871319,6.66389,16.40605,0.0,0.0,706.709839,604.428345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,
22/06/2021 09:37:10 AM,,,,,,,,,,0.0,822.9341,1.0,1.0,1.0,5.67213535,358.574738,33.4850044,0.0,1.0,,,1.0,1.0,1,1,1.0,1,5.8224597,307.497284,12.9009533,0.04161598,0.0005124427,898.1271,1.0,2.0,1,1.0,1.0,1.0,0.0,0.0,0.000768295,595.654968,1.0,1.0,1.0,1.0,False,6.71706,298.6414,120.994614,4.84491158,0.002048459,0.0019213527,0.0,0.00256344536,1.0,1.0,1,1.0,1.0,1.0,20.1871319,6.66389,16.40605,0.0,0.0,706.485535,604.428345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,
22/06/2021 09:37:11 AM,,,,,,,,,,0.0,823.0126,1.0,1.0,1.0,5.6920023,358.574738,33.4850044,0.0,1.0,,,1.0,1.0,1,1,1.0,1,5.830783,307.47168,12.9009533,0.04161598,0.0005124427,898.1271,1.0,2.0,1,1.0,1.0,1.0,0.0,0.0,0.000768295,595.424255,1.0,1.0,1.0,1.0,False,6.71706,298.6414,120.994614,4.84491158,0.002048459,0.0019213527,0.0,0.00256344536,1.0,1.0,1,1.0,1.0,1.0,20.1871319,6.66389,16.40605,0.0,0.0,706.3894,603.979736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,
22/06/2021 09:37:12 AM,,,,,,,,,,0.0,823.0126,1.0,1.0,1.0,5.696809,358.574738,33.4850044,0.0,1.0,,,1.0,1.0,1,1,1.0,1,5.830783,307.47168,12.9009533,0.04161598,0.0005124427,898.1271,1.0,2.0,1,1.0,1.0,1.0,0.0,0.0,0.000768295,595.424255,1.0,1.0,1.0,1.0,False,6.71706,298.6414,120.994614,4.84491158,0.002048459,0.0019213527,0.0,0.00256344536,1.0,1.0,1,1.0,1.0,1.0,20.1871319,6.66389,16.40605,0.0,0.0,706.3894,603.979736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,
22/06/2021 09:37:13 AM,,,,,,,,,,0.0,823.365845,1.0,1.0,1.0,5.696809,358.574738,33.4850044,0.0,1.0,,,1.0,1.0,1,1,1.0,1,5.83785772,307.47168,12.9009533,0.04161598,0.0005124427,898.1271,1.0,2.0,1,1.0,1.0,1.0,0.0,0.0,0.000768295,595.232,1.0,1.0,1.0,1.0,False,6.71706,298.6414,120.994614,4.84491158,0.002048459,0.0019213527,0.0,0.00256344536,1.0,1.0,1,1.0,1.0,1.0,20.1871319,6.66389,16.40605,0.0,0.0,706.6137,603.338867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,,,,,,,,,,,,,,
